id,code,uic,name_short,name_medium,name_long,slug,country,type,geo_lat,geo_lng,province
641,EHW,8021121,Rosend-H,Rosendahl-Holtw.,Rosendahl-Holtwick,rosendahl-holtwick,D,stoptreinstation,51.9994672604,7.12150096893,
404,RS,8400524,Rosmalen,Rosmalen,Rosmalen,rosmalen,NL,stoptreinstation,51.7147216797,5.36805534363,Noord-Brabant
409,RTA,8400507,Alexander,Alexander,Rotterdam Alexander,rotterdam-alexander,NL,intercitystation,51.9519462585,4.55361127853,Zuid-Holland
803,BEURS,8400077,Beurs,Rotterdam Beurs,Rotterdam Beurs,rotterdam-beurs,NL,facultatiefStation,51.917931,4.477872,Zuid-Holland
410,RTB,8400529,Blaak,Rotterdam Blaak,Rotterdam Blaak,rotterdam-blaak,NL,intercitystation,51.9202766418,4.48888874054,Zuid-Holland
411,RTD,8400530,Rotterdam,Rotterdam C.,Rotterdam Centraal,rotterdam-centraal,NL,megastation,51.9249992371,4.46888875961,Zuid-Holland
401,RLB,8400542,Lombardije,Lombardijen,Rotterdam Lombardijen,rotterdam-lombardijen,NL,stoptreinstation,51.8800010681,4.53138875961,Zuid-Holland
412,RTN,8400531,Rotterdm N,Rotterdam Noord,Rotterdam Noord,rotterdam-noord,NL,stoptreinstation,51.9422225952,4.48166656494,Zuid-Holland
413,RTST,8400534,R'dam Sta,R'dam Stadion,Rotterdam Stadion,rotterdam-stadion,NL,facultatiefStation,51.8938903809,4.51972198486,Zuid-Holland
414,RTZ,8400533,Rotterdm Z,Rotterdam Zuid,Rotterdam Zuid,rotterdam-zuid,NL,stoptreinstation,51.9044456482,4.51027774811,Zuid-Holland
715,FSV,8822848,Ruisbr-S,Ruisbroek-Sauv.,Ruisbroek-Sauvegarde,ruisbroek-sauvegarde,B,stoptreinstation,51.08115,4.32551,
400,RL,8400537,Ruurlo,Ruurlo,Ruurlo,ruurlo,NL,stoptreinstation,52.0810888,6.4492656,Gelderland
643,RZEPIN,5100082,Rzepin,Rzepin,Rzepin,rzepin,PL,stoptreinstation,52.35022,14.81507,
644,SAALF,8101148,Saalfelden,Saalfelden,Saalfelden,saalfelden,A,stoptreinstation,47.42684,12.82942,
435,SPTN,8400543,Santprt N,Santpoort Noord,Santpoort Noord,santpoort-noord,NL,stoptreinstation,52.4338874817,4.63250017166,Noord-Holland
436,SPTZ,8400544,Santprt Z,Santpoort Zuid,Santpoort Zuid,santpoort-zuid,NL,stoptreinstation,52.4197235107,4.63138866425,Noord-Holland
434,SPM,8400545,Sappemr O,Sappemeer Oost,Sappemeer Oost,sappemeer-oost,NL,stoptreinstation,53.1589183,6.7955648,Groningen
544,SSH,8400603,Sassenheim,Sassenheim,Sassenheim,sassenheim,NL,stoptreinstation,52.215278,4.517222,Zuid-Holland
449,SWD,8400547,Sauwerd,Sauwerd,Sauwerd,sauwerd,NL,stoptreinstation,53.29113,6.5404,Groningen
427,SGN,8400549,Schagen,Schagen,Schagen,schagen,NL,stoptreinstation,52.7844429016,4.8052778244,Noord-Holland
421,SDA,8400551,Scheemda,Scheemda,Scheemda,scheemda,NL,stoptreinstation,53.1655362,6.9777775,Groningen
716,SCHLL,8824232,Schelle,Schelle,Schelle,schelle,B,stoptreinstation,51.12555,4.34023,
